"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "HTML", "XML", "YAML", "Batch", "PostCSS", "Java Properties", "Java", "MS SQL", "comment", "blank", "total"
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\EnrolledCourseRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 6, 19
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\FeedbackRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 7, 21
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\RoleRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\StudentRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 7, 21
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\TeacherRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\UpcomingEventRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 10, 28
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\DataAccessLayer\Repositories\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\ExcHandler\Entites\AuthError.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\ExcHandler\Entites\ErrorResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\ExcHandler\GolbalHandler\GlobalHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\HelwanApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\Jwt\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 8, 14, 72
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\Jwt\JwtService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 22, 101
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\Oauth2\OAuth2LoginSuccessHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 22, 17, 96
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\User\CustomUserDetailsService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\User\SecurityUser.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 14, 59
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\Util\SecurityUtils.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\config\AppConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 9, 40
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\Security\config\SecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 9, 16, 105
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\resources\db\migration\V1__init_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 11, 21, 117
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\resources\db\migration\V2__AddCourseDescriptionCoulmn.schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\resources\db\migration\V3__AddFeedBackTable.schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\resources\db\migration\V4__AddAnouncmentTable.schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
